ID,Module,Feature/Screen,Description/Asumptions,"Fields/Components, Component Type, Required?",User Flow
2.2.5,,Camera Recording,"- Available to any authenticated user creating/updating a listing video (Employer or Candidate).
- Triggered by [Proceed to record video] from the Listing summary, or [Re-record] from the post-recording preview.
- Lets the user record a short introduction video with the device camera, with the option to apply one of 10–15 static professional backgrounds.
- Hard 30-second recording cap — recording auto-stops at 30 seconds and cannot be extended.
- Front camera is the default; [Flip camera] toggles front/rear.
- Background selection is optional and happens BEFORE recording starts on the camera preview screen; the first option is always ""None"" (natural background, default selected). Selecting a thumbnail applies it in real time to the live preview. Once recording starts the selected background is locked and cannot change mid-recording; it is applied at recording time only, not retroactively.
- Camera and microphone permissions are requested on first use.
- 10 static professional backgrounds (final count) are bundled with the app binary at build time (not downloaded at runtime): 3 solid colours (white, light grey, soft blue), 3 office environments (modern office, meeting room, coworking space), 2 abstract/gradient (professional gradient, subtle pattern), 2 outdoor (urban skyline, park/nature). Static images only — no animated/video backgrounds (out of scope for MVP).
- Background replacement uses real-time person segmentation: iOS via Apple Vision (PersonSegmentationRequest), Android via Google ML Kit Selfie Segmentation, at ~30fps for live preview and recording.
- Device-compatibility fallback: if the device does not support real-time segmentation (minimum iOS 15+ with A14 chip / Android 10+ with ML Kit), the background option is simply hidden — the user records with their natural background and no error message is shown.
- After recording the user can preview, re-record, save as draft, or submit the listing for review.
- Listings are moderated manually by an Admin (no AI scanning): [Submit for review] sets the listing to Pending Review and sends the video to the Admin moderation queue (3.3.1). An Admin reviews it (3.3.3) and either approves (listing Published, visible in the feed; user notified and matching employers notified) or rejects (listing Rejected; user notified, can re-record/upload). Rejection reasons are not disclosed to the user.
- Both Employers and Candidates can keep using search/swipe without completing a listing video.
- If a teleprompter script is active (2.2.7), it scrolls as an overlay during recording.","Screen 1 - Camera recording
- Live camera preview — Display — Full-screen — Front camera by default
- Countdown timer — Display — Shows remaining recording time — Max 30 seconds
- Record — Button — Primary — Tap to start; auto-stops at 30 seconds
- Flip camera — Button / Icon button — Toggles front and rear camera
- Teleprompter overlay — Display — Scrolling text at the top of the preview — Conditional (renders if a script is active, 2.2.7)
- Background selector — Option Cards (thumbnail row below the preview) — Optional — First option always ""None"" (natural background, default selected) + 10 static professional backgrounds — Selection applies in real time to the live preview — Hidden entirely on devices that don't support real-time segmentation — Locked once recording starts

Screen 2 - Post-recording preview
- Video playback preview — Display — Plays the recorded video
- Re-record — Button — Secondary
- Save as draft — Button — Secondary
- Submit for review — Button — Primary — Submits the listing to manual Admin moderation (Admin queue 3.3.1, decision 3.3.3); sets the listing to Pending Review","Screen: Camera Recording

Preconditions:
- User must be authenticated and have an in-progress listing (from 2.2.3 / 2.2.4) or be re-recording an existing one.
- Device must have a working camera and microphone.
- Camera and microphone permissions are required.

User taps [Proceed to record video] from the Listing summary (or [Re-record] from preview).
1. System requests camera and microphone permissions from the device OS (first use):
   1.1. System requests camera + microphone access ? device OS presents its native permission dialog:
    + If the user grants both ? system shows the full-screen live camera preview (front camera default).
    + If the user denies camera or microphone ? system does NOT open the camera ? system displays a message explaining the permissions are required and offers a shortcut to device Settings: ""Camera and microphone access are needed to record your video. Please enable them in Settings.""
    + If permissions were previously denied permanently ? system does NOT prompt again ? system shows the same Settings guidance.
2. System checks device support for real-time segmentation, then displays the live preview, countdown timer (30s), [Record], [Flip camera]:
   2.1. If the device supports real-time segmentation (iOS 15+ with A14 / Android 10+ with ML Kit) ? system shows the background selector thumbnail row with ""None"" selected by default plus the 10 static backgrounds.
   2.2. If the device does NOT support real-time segmentation ? system does NOT show the background selector at all (no error message) ? the user records with their natural background.
3. User optionally taps a background thumbnail ? system applies it in real time to the live preview via person segmentation (iOS Vision / Android ML Kit); default is ""None"". User taps [Flip camera] ? system toggles front/rear.
4. User taps [Record] ? system locks the selected background (cannot change mid-recording) ? system starts recording and counts down from 30 seconds; if a script is active (2.2.7), the teleprompter scrolls during recording:
   4.1. User taps to stop before 30s ? system stops recording ? system proceeds to the post-recording preview.
   4.2. If the 30-second cap is reached ? system auto-stops recording (cannot be extended) ? system proceeds to the post-recording preview.
   4.3. The selected background is baked in at recording time only; it is NOT applied retroactively to an already-recorded clip.
5. Post-recording preview — system plays back the recorded video with [Re-record], [Save as draft], [Submit for review].
6. User taps [Re-record] ? system discards the current clip ? system returns to step 2.
7. User taps [Save as draft] ? system saves the listing + video in Draft status ? system displays success message: ""Listing saved as draft."" ? system navigates to the user's drafts (2.6.5).
8. User taps [Submit for review] ? system sets the listing to Pending Review and sends the video to the Admin moderation queue (3.3.1 / decision in 3.3.3) ? system shows an on-screen confirmation (not a push, since the user just acted): ""Your listing has been submitted for review. You will be notified once it is approved."" ? the listing shows a ""Pending Review"" badge in Listing management (2.6.3). System does NOT publish or show it in the feed yet.
   8.1. If an Admin approves the video ? listing becomes Published and visible in the feed ? user is notified via Video validation notice (2.7.6) ? matching Employers are notified (2.7.3).
   8.2. If an Admin rejects the video ? listing becomes Rejected ? user is notified via 2.7.6 (reason NOT disclosed) and can return here (2.2.5) or to Video Upload (2.2.6) to provide a replacement, which re-enters the queue as Pending Review.
   8.3. System does NOT send any ""still pending"" reminder to the user; queue age is an Admin-side metric only.
9. The user may exit this screen and continue using search/swipe without completing the video."
2.2.6,,Video Upload from Gallery,"- Available to any authenticated user as an alternative to live recording.
- Triggered by [Choose from gallery] on the video creation screen.
- Lets the user pick an existing video from their device gallery, with the option to apply one of the same 10–15 static backgrounds before publishing.
- The system validates duration (? 30 seconds) and format (MP4 / MOV) before upload.
- A video exceeding 30 seconds or in an unsupported format cannot be uploaded; the user must select a different video.
- Background application is optional and uses the same real-time segmentation approach as live recording (2.2.5); on devices that don't support segmentation the background option is hidden. Compatibility with uploaded MP4/MOV is validated during technical design.
- After selection the user can preview, apply a static background, re-choose, save as draft, or submit the listing for review (manual Admin moderation, Admin Panel 3.3).","Screen 1 - Gallery selection
- Choose from gallery — Button — Primary — Opens the device-native media picker
- Device media picker — System component (device-native) — For selecting a video

Screen 2 - Post-selection preview
- Video playback preview — Display — Plays the selected video
- Validation message — Display — Conditional — Shown if the video exceeds 30 seconds or is an unsupported format
- Background selector — Option Cards / List — Optional — First option ""None"" (default) + the same 10 static backgrounds as Camera Recording (2.2.5) — Hidden on devices without real-time segmentation support
- Re-choose — Button — Secondary
- Save as draft — Button — Secondary
- Submit for review — Button — Primary — Submits the listing to manual Admin moderation (Admin queue 3.3.1, decision 3.3.3); sets the listing to Pending Review","Screen: Video Upload from Gallery

Preconditions:
- User must be authenticated and have an in-progress listing (from 2.2.3 / 2.2.4).
- Device must grant access to the photo/video gallery via the OS media picker.

User taps [Choose from gallery] on the video creation screen.
1. User taps [Choose from gallery] ? system opens the device-native media picker:
   1.1. If the OS requires gallery/photos permission and the user denies it ? system does NOT open the picker ? system displays guidance: ""Access to your gallery is needed to choose a video. Please enable it in Settings.""
   1.2. If the user grants access ? device OS presents the native media picker.
2. User selects a video ? system validates the file before upload:
   2.1. Validate format — system checks the file is MP4 or MOV:
    + If the format is unsupported ? system does NOT upload ? system displays validation message: ""Unsupported format. Please choose an MP4 or MOV video."" ? user must select a different video.
   2.2. Validate duration — system checks the clip is 30 seconds or shorter:
    + If the video exceeds 30 seconds ? system does NOT upload ? system displays validation message: ""Video must be 30 seconds or less. Please choose a shorter video."" ? user must select a different video.
   2.3. If format and duration are valid ? system loads the post-selection preview.
3. Post-selection preview — system plays the selected video with the optional background selector, [Re-choose], [Save as draft], [Confirm and publish listing].
4. User optionally selects a static background ? system applies it using the same processing as live recording (2.2.5); background application is optional.
5. User taps [Re-choose] ? system returns to the media picker (step 1).
6. User taps [Save as draft] ? system saves the listing + video in Draft status ? system displays success message: ""Listing saved as draft."" ? system navigates to the user's drafts (2.6.5).
7. User taps [Submit for review] ? system sets the listing to Pending Review and sends the video to the Admin moderation queue (3.3.1 / decision in 3.3.3) ? system shows the on-screen confirmation: ""Your listing has been submitted for review. You will be notified once it is approved."" ? the listing shows a ""Pending Review"" badge in Listing management (2.6.3). Approval/rejection outcomes and user notifications follow the same manual-moderation flow as Camera Recording (2.2.5, steps 8.1–8.3): approve ? Published + notify (2.7.6 / 2.7.3); reject ? Rejected + notify (2.7.6, reason not disclosed)."
2.2.7,,AI Script & Teleprompter Overlay,"- Available to any authenticated user preparing a listing video.
- Triggered by the [Prepare script] option before starting video recording.
- Helps the user prepare a script by generating one with AI or writing custom text, then scrolling it as a teleprompter during recording (2.2.5).
- The user can request an AI-generated script (based on their profile data) or type custom text.
- During recording the text scrolls as a teleprompter overlay at a configurable speed.
- One script is allowed per recording session.
- The profile must be partially completed for AI script generation to work.
- AI script generation uses an LLM (configured as GPT-4.1 mini).","Screen name: Prepare script (pre-recording)
- Write your script — Textarea — Optional — Free text input — Max ~600 characters (suitable for a 30-second read)
- Generate script with AI — Button — Secondary — Generates a suggested script from the user's profile data
- Scroll speed — Slider — Adjusts teleprompter scrolling speed
- Start recording with teleprompter — Button — Primary — Proceeds to Camera Recording (2.2.5) with the script active
- Skip — Button — Secondary — Proceeds to recording without a script
- (During recording) Teleprompter overlay — Display — Scrolling text at the top of the camera preview","Screen: Prepare script

Preconditions:
- User must be authenticated and in the listing-video flow.
- AI script generation requires the profile to be at least partially completed.
- LLM script service (GPT-4.1 mini) must be reachable for AI generation.

User taps [Prepare script] before starting recording.
1. System displays the Prepare script screen with the text area, [Generate script with AI], scroll-speed control, [Start recording with teleprompter], and [Skip].
2. User taps [Generate script with AI] ? system checks profile completeness:
   2.1. If the profile is not sufficiently completed ? system does NOT call the AI service ? system displays message: ""Add a few profile details first so we can generate a script for you.""
   2.2. If the profile is sufficiently completed ? system submits the relevant profile data to the LLM script service (GPT-4.1 mini):
    + If the service returns a script ? system populates the text area with the generated script for the user to edit.
    + If the service returns an error or times out ? system does NOT populate a script ? system displays message: ""Couldn't generate a script right now. You can write your own or try again."" ? the user can still type a script manually.
3. User optionally edits the text area or types a custom script; user adjusts [Scroll speed].
4. User taps [Start recording with teleprompter] ? system marks one script active for this recording session ? system navigates to Camera Recording (2.2.5), where the script scrolls as a teleprompter overlay at the chosen speed.
   4.1. Only one script is allowed per recording session; starting a new recording session resets the active script.
5. User taps [Skip] ? system proceeds to Camera Recording (2.2.5) with no teleprompter overlay."
2.3,Home screen,,,,
2.3.1,Home Screen,Home Screen,"- Available to any authenticated user (Employer or Candidate); shown after login or when the Home tab is tapped.
- Provides the main entry points to the app's core features.
- Both roles land on the same Home layout with role-adapted content (see 2.1.2): the listing-creation entry routes to the Employer or Candidate listing flow per role.
- [Post a listing] is optional — both Employers and Candidates can use Swipe to browse without posting a listing.
- All features accessible from the Home screen are available without a subscription; only the Employer contact-detail reveal on swipe-right requires a subscription (2.4.1).
- Persistent bottom navigation with four tabs: Home, Chat, Notifications (with unread badge), Settings.","Screen name: Home
- Post a listing — Button — Primary — Navigates to the role-appropriate listing flow (Employer 2.2.3 / Candidate 2.2.4) — Optional action
- Go to Swipe — Button — Primary — Navigates to the swipe feed (Employer 2.4.1 / Candidate 2.4.2)
- Bottom navigation bar — Component — Persistent across main screens
  + Home — Tab — Active state on this screen
  + Chat — Tab — Navigates to Conversation list (2.5.1)
  + Notifications — Tab — Navigates to Notifications; shows an unread count badge
  + Settings — Tab — Navigates to Profile & Account Settings (2.6)","Screen: Home Screen

Preconditions:
- User must be authenticated (Employer or Candidate).
- For Candidates, phone verification (2.1.8) must be complete; otherwise the verification gate redirects to 2.1.8 (per 2.1.2).
- No subscription is required to reach or use the Home screen.

User completes login or taps the Home tab.
1. System loads the Home screen with the role-adapted content and the four-tab bottom navigation; the Home tab shows the active state.
2. System checks for unread notifications:
   2.1. If unread notifications exist ? system shows an unread count badge on the Notifications tab.
   2.2. If none ? system does NOT show a badge.
3. User taps [Post a listing] ? system navigates to the role-appropriate listing flow (Employer 2.2.3 / Candidate 2.2.4). This action is optional and is not required to use Swipe.
4. User taps [Go to Swipe] ? system navigates to the role-appropriate swipe feed (Employer 2.4.1 / Candidate 2.4.2).
5. User taps a bottom-navigation tab:
   5.1. [Chat] ? system navigates to the Conversation list (2.5.1).
   5.2. [Notifications] ? system navigates to Notifications and clears the unread badge as items are seen.
   5.3. [Settings] ? system navigates to Profile & Account Settings (2.6).
   5.4. [Home] ? system stays on / returns to the Home screen.
6. All entry points here function without a subscription; the only subscription gate in the app is the Employer contact reveal on swipe-right (2.4.1)."
2.4,Swipe,,,,
2.4.1,Swipe screen,Employer's Swipe screen,"- Available to authenticated Employers; entered from Home (2.3.1) or after completing the Employer listing setup (2.2.3).
- Lets an Employer browse Candidate listings in a swipe-card interface: swipe right to express interest, swipe left to skip, or bookmark to Favourites.
- Each card shows the Candidate's introduction video and basic listing information only.
- Personal candidate information (name, email, phone) must NOT be visible in the card stack — it is revealed only after the subscription-gated contact unlock.
- The swipe gesture itself is unlimited and free; only the contact-detail reveal requires an active subscription.
- Swipe right with an active subscription ? the Employer immediately sees the candidate's contact details and a 1-1 chat opens automatically (2.5.2).
- Swipe right without a subscription ? the Employer is directed to the purchase subscription screen (2.6.13 / 2.6.14); on completed purchase they return to Swipe and the contact is revealed.
- Candidate contact details are pre-consented at listing creation (2.2.4) — no additional candidate approval is needed.
- The Employer can adjust their location search radius here to change geographic coverage (radius logic per 2.4.5).
- Cards load in batches of ~20; already-seen cards are excluded from future feed loads.
- When no candidate profiles match the Employer's active criteria, an empty state is shown.","Screen name: Employer Swipe feed
- Swipe card — Display — Full-screen — Shows: Candidate introduction video (autoplay/tap to play) + basic listing info (no personal contact data)
  + Candidate video — Display — Plays the candidate's introduction video
  + Basic listing info — Display — Field of activity, contract type, preferred region (general), availability — NO name/email/phone
- Swipe right — Gesture — Express interest ? subscription-gated contact reveal + auto-open 1-1 chat (2.5.2)
- Swipe left — Gesture — Skip the current card and show the next
- Bookmark — Icon button — Adds the listing to Favourites (2.6.7)
- Search radius control — Slider — Adjusts geographic coverage (km) — Updates the feed on next load
- Empty state — Display — Conditional (shown when no profiles match) — Illustrative icon/graphic + message: ""No profiles match your current criteria""
- Subscription gate — Redirect — On swipe-right without an active subscription, routes to the purchase subscription screen (2.6.13 / 2.6.14)","Screen: Employer's Swipe screen

Preconditions:
- User must be authenticated as an Employer.
- The Employer's company location and radius must be set for the feed to activate (2.4.5); if not set ? system prompts the Employer to complete location setup before showing the feed.
- A completed listing is NOT required to browse; swiping is free.
- Subscription status is checked only at the moment of swipe-right (not to view cards).

Employer enters the swipe feed from Home (2.3.1) or after listing setup.
1. System loads the candidate feed in batches of ~20, ordered by the matching algorithm (2.4.3), excluding already-seen cards:
   1.1. If at least one candidate matches the active criteria ? system displays the first card (video + basic info only, no personal contact data).
   1.2. If no candidates match ? system displays the empty state: ""No profiles match your current criteria.""
2. User swipes left ? system skips the current card, marks it seen (excluded from future loads), and shows the next card.
3. User taps the bookmark icon ? system adds the listing to Favourites (2.6.7) ? system shows a brief confirmation (e.g. ""Saved to Favourites"").
4. User adjusts the search radius control ? system stores the new radius ? system refreshes the feed on the next load with the updated geographic scope (does not affect the candidate's feed, per 2.4.5).
5. User swipes right ? system checks the Employer's subscription status:
   5.1. If the Employer has an active subscription ? system reveals the candidate's pre-consented contact details (name, email, phone) ? system auto-creates a conversation and opens the 1-1 chat (2.5.2) ? system notifies the candidate (2.7.x).
    + System does NOT require any additional candidate approval (contact is pre-consented at 2.2.4).
   5.2. If the Employer has NO active subscription ? system does NOT reveal contact details ? system does NOT open a chat ? system redirects to the purchase subscription screen (2.6.13 / 2.6.14):
    + If the purchase completes successfully ? system returns the Employer to the Swipe screen ? system reveals the contact and auto-opens the 1-1 chat for that candidate (resumes 5.1).
    + If the purchase is cancelled or fails ? system does NOT reveal contact ? system returns the Employer to the Swipe screen with the card available to swipe again.
6. Personal candidate information is never rendered in the card stack at any point before a successful subscription-gated unlock."
2.4.2,,Candidate's Swipe screen,"- Available to authenticated, phone-verified Candidates; entered from Home (2.3.1).
- Lets a Candidate browse Employer job postings in a swipe-card interface and express interest for free.
- Each card shows the Employer's video, Company Name, Position name, and Location.
- Swiping right is always free for Candidates.
- Swiping right sends the Candidate's listing/interest to the employer but does NOT initiate a 1-1 chat (chat is created only by an Employer swipe-right with subscription, 2.4.1 / 2.5.1).
- A candidate swipe-right surfaces to the employer in two ways: (a) it appears as a separate ""Candidates interested in you"" section on the employer's Favourites screen (2.6.7), distinct from the employer's own saved favourites; and (b) it triggers the existing Candidate swipe-right notification (2.7.4), tapping which deep-links the employer into that section. Accessing an interested candidate's contact details still requires an active subscription (same gate as everywhere else).
- As a secondary effect, a candidate's expressed interest acts as a low-priority tie-breaker in the matching algorithm (2.4.3), ranking interested candidates ahead of otherwise-equal matches in the employer's feed.
- Employer contact details are NOT visible to the Candidate from this screen.
- Cards load in batches of ~20; already-swiped cards are excluded from future loads.
- MVP matching is rule-based across all four priority levels (2.4.3), anchored on Location (Priority 1) and Industry/Sector (Priority 2); AI-driven behavioural recommendations are deferred to Phase 2.","Screen name: Candidate Swipe feed
- Swipe card — Display — Full-screen — Shows: Employer video + Company Name + Position name + Location
  + Employer video — Display — Plays the employer's introduction video
  + Company Name — Display
  + Position name — Display
  + Location — Display — General location (not exact contact data)
- Swipe right — Gesture — Sends the Candidate's listing to the employer (free) — Does NOT open a chat
- Swipe left — Gesture — Skip the current card and show the next
- Bookmark — Icon button — Adds the listing to Favourites (2.6.7)
- Empty state — Display — Conditional (shown when no employer postings match) — Illustrative icon/graphic + message: ""No job postings match your current criteria""","Screen: Candidate's Swipe screen

Preconditions:
- User must be authenticated as a Candidate with phone verification complete (2.1.8).
- A completed listing is NOT required to browse.
- No subscription is required at any point for Candidates.

Candidate enters the employer-listings swipe feed from Home (2.3.1).
1. System loads the employer feed in batches of ~20, ordered by the matching algorithm (2.4.3), excluding already-swiped cards:
   1.1. If at least one employer posting matches ? system displays the first card (video + company name + position + location).
   1.2. If none match ? system displays the empty state: ""No job postings match your current criteria.""
2. User swipes left ? system skips the current card, marks it swiped (excluded from future loads), and shows the next card.
3. User taps the bookmark icon ? system adds the posting to Favourites (2.6.7) ? system shows a brief confirmation.
4. User swipes right ? system records the Candidate's interest and sends the Candidate's listing to the employer (free):
   4.1. System does NOT open a 1-1 chat and does NOT reveal employer contact details to the Candidate.
   4.2. System does NOT charge or gate this action — Candidate swipe-right is always free.
   4.3. System surfaces the interest to the employer: it appears in the ""Candidates interested in you"" section on the employer's Favourites screen (2.6.7), and the system sends the Candidate swipe-right notification (2.7.4) to the employer; tapping that notification deep-links the employer into that section. The employer still needs an active subscription to access the candidate's contact details there.
   4.4. System also passes the interest to the matching algorithm (2.4.3) as a low-priority tie-breaker, promoting this candidate among otherwise-equal matches in the employer's feed.
   4.5. If the send fails due to a network error ? system does NOT mark the card consumed ? system displays a brief retry message: ""Couldn't send right now. Please try again.""
5. Employer contact details are never shown to the Candidate from this screen."
2.4.3,,Listing matching priority,"- This is a system feature with no dedicated UI screen of its own; it runs server-side when a user opens the swipe feed and determines the order/filtering of listings.
- Profiles are ordered and filtered based on the criteria entered in the listing forms (2.2.3 / 2.2.4); information must be collected for matching to function.
- Priority order (higher takes precedence): Priority 1 — Location (geolocation matching: employer company location vs candidate desired region, with radius filter); Priority 2 — Industry/Sector (employer field of activity vs candidate declared field); Priority 3 — Availability (employer desired start date vs candidate declared availability); Priority 4 — Gender, Age, Contract Type, Language (these four share one priority level).
- For v1 the algorithm is rule-based, not AI-based; AI-driven behavioural recommendation is deferred to Phase 2.
- Tie-breaker (lowest priority, below P1–P4): in the Employer feed, a candidate who has expressed interest (swiped right on this employer, 2.4.2) is ranked ahead of otherwise-equal non-interested candidates.
- Candidates who have not specified a preferred work region are ranked last in the Employer feed rather than excluded entirely (per 2.4.5).
- The Employer radius filter applies only to the Employer feed; it does not affect the Candidate feed.","This is a server-side system feature. No dedicated UI screen is rendered; it produces the ordered/filtered card stack consumed by the swipe feeds (2.4.1 / 2.4.2).
- Input criteria — Data — From listing forms: Location/region, Field of activity, Availability/start date, Gender, Age, Contract type, Language
- Priority weighting — Logic — P1 Location (with radius) > P2 Industry/Sector > P3 Availability > P4 {Gender, Age, Contract Type, Language} (equal weight) > Tie-breaker: candidate expressed interest (2.4.2), Employer feed only
- Output — Ordered, filtered list of listings returned in batches of ~20 to the requesting feed, excluding already-seen/swiped cards
- Fallback rule — Listings missing a preferred work region are ranked last (not excluded)","System Process: Listing matching priority (runs server-side on feed open; feeds 2.4.1 / 2.4.2).

Preconditions:
- Triggered when a user opens the swipe feed (Employer or Candidate).
- Listing criteria from both sides must be collected for matching to function (2.2.3 / 2.2.4).
- For the Employer feed, the Employer's location + radius must be set (2.4.5).
- No AI service is involved — matching is rule-based for v1.

1. User opens the swipe feed ? system requests the next batch (~20) from the matching service.
2. Matching service filters and orders candidate/employer listings by the priority rules:
   2.1. Priority 1 — Location: system filters to listings within the radius (Employer feed) / matching the desired region (Candidate feed):
    + If a listing is outside the radius/region ? system excludes it from the primary set.
    + If a candidate listing has no preferred work region ? system does NOT exclude it ? system ranks it last.
   2.2. Priority 2 — Industry/Sector: within the location-filtered set, system orders by field-of-activity match.
   2.3. Priority 3 — Availability: system further orders by start-date vs availability match.
   2.4. Priority 4 — Gender, Age, Contract Type, Language: system applies these four as equally-weighted tie-breakers.
   2.5. Tie-breaker (Employer feed only) — among otherwise-equal candidates, system ranks those who have expressed interest in this employer (swiped right, 2.4.2) ahead of non-interested candidates.
3. System returns the ordered batch to the feed, excluding already-seen/swiped cards:
   3.1. If the ordered set is empty ? system returns an empty batch ? the feed shows its empty state (2.4.1 / 2.4.2).
   3.2. If the matching service is unreachable ? system does NOT return stale or random cards ? the feed shows a transient error/retry state.
4. AI-driven behavioural recommendation is out of scope for MVP (Phase 2)."
2.4.4,Map & Geolocation Function,Candidate preferred work region input,"- This is not a standalone screen — it is the location field embedded within the Candidate's listing form (2.2.4).
- Lets the Candidate indicate the region where they wish to work, stored per listing and used as the primary matching criterion (Priority 1, 2.4.3).
- The Candidate enters the region manually via a text search with autocomplete — map interaction is NOT required for the candidate.
- Location autocomplete supports international place names (consistent with the app's international scope).
- [Use my current location] is optional: it pre-fills the field using device GPS if permission is granted; if permission is denied the button is hidden or disabled and the candidate enters location manually.
- Device GPS is used only at the moment the candidate taps [Use my current location] — it is not tracked continuously.
- The candidate's actual physical device location is not used as their preferred work region — only the location they explicitly enter or confirm.
- Location is stored per listing, not per account — a candidate with multiple listings can set a different region for each.
- The field is mandatory: a listing cannot be submitted without a preferred work region.
- Location data is used for matching only and is not displayed to employers as personal contact information.","This feature is embedded within the Candidate's listing set up (2.2.4).
- Preferred work region — Location search input — Required (mandatory) — Text search with autocomplete — Supports international place names
- Use my current location — Button — Optional — Pre-fills the field via device GPS — Hidden/disabled if GPS permission is denied
- Selected location label — Display — Confirmation label shown below the input after a selection","Screen: Preferred work region (embedded in Candidate listing form 2.2.4)

Preconditions:
- User must be an authenticated Candidate completing/editing a listing (2.2.4).
- Location autocomplete service must be reachable.
- GPS permission is NOT required to use this field (manual entry always available).

Candidate reaches the location field in the listing form.
1. Candidate types a city, region, or area name ? system queries the autocomplete service:
   1.1. If matches are found ? system shows autocomplete suggestions as the candidate types (international place names supported).
   1.2. If no matches ? system shows ""No matching locations found."" and the candidate can refine the text.
   1.3. If the autocomplete service is unreachable ? system still allows the typed text to be confirmed and displays a brief notice that suggestions are unavailable.
2. Candidate selects a suggestion ? system confirms it and displays it as a label below the field ? system saves the location as part of the listing form data (stored per listing).
3. Candidate optionally taps [Use my current location] ? system requests device GPS permission (one-time):
   3.1. If permission is granted ? device returns the current coordinates ? system reverse-geocodes to a place and pre-fills the field (the candidate can still edit it) ? GPS is read once, not tracked continuously.
   3.2. If permission is denied ? system hides or disables [Use my current location] ? the candidate enters the region manually.
4. On form submission the field is validated:
   4.1. If no preferred work region is set ? system does NOT submit the listing ? system displays error: ""Please enter your preferred work region.""
   4.2. If set ? system stores it and uses it as the Priority 1 matching criterion (2.4.3).
5. System does NOT use the device's physical location as the preferred region and does NOT expose this location to employers as contact information."
2.4.5,,Employer location input and radius filter,"- This is not a standalone screen — it is the location section embedded within the Employer's preference/listing form (2.2.3).
- Lets the Employer enter their company location on a map and set a radius filter to limit the swipe feed to candidates within a defined distance.
- Company location + radius are stored against the Employer's account preference (not per listing); changing them affects the swipe feed on the next load.
- Location is Priority 1 in the matching algorithm (2.4.3) — the company location and radius are the primary filter on the Employer feed.
- The radius filter applies to the Employer's swipe feed only — it does not affect the Candidate's feed.
- Both company location and radius must be set before the Employer's swipe feed is activated.
- [Use my current location] is optional: pre-fills via device GPS if granted; if denied the Employer enters location manually (button hidden/disabled). GPS is read once on tap, not tracked continuously.
- Location autocomplete supports international place names.
- The map provider is Google Maps Platform (Places Autocomplete + Maps SDK + Geocoding) — chosen for the richest international location data; monthly cost tracked under third-party services.
- The radius slider uses the 2.2.3-confirmed values as the single source of truth: 5–200 km, 5 km steps, default 50 km (the ""50 km"" reference in the original requirement was illustrative, not a fixed maximum).
- Candidates without a specified preferred work region are ranked last in the Employer feed rather than excluded (per 2.4.3).","This feature is embedded within the Employer's Listing set up (2.2.3) location section.
- Company location — Location search input — Required (mandatory) — Autocomplete — International place names
- Use my current location — Button — Optional — Pre-fills via device GPS — Hidden/disabled if GPS permission is denied
- Map view — Map component — Shows the selected location as a pin — Provider: Google Maps Platform (Maps SDK)
- Radius circle — Map overlay — Updates in real time as the radius slider moves
- Search radius — Slider — Required — Unit km — Range 5–200 km, 5 km steps, default 50 km (per 2.2.3) — Displays the current value (e.g. ""50 km"")
- Confirmation labels — Display — Selected location and radius value shown below the map","Screen: Company location & radius (embedded in Employer listing form 2.2.3)

Preconditions:
- User must be an authenticated Employer completing/editing the preference form (2.2.3).
- Map and location autocomplete services must be reachable.
- GPS permission is NOT required (manual entry always available).

Employer reaches the location section in the preference form.
1. Employer types the company location ? system shows autocomplete suggestions (international place names):
   1.1. If the autocomplete/map service is unreachable ? system allows manual confirmation of typed text and shows a brief notice that the map/suggestions are degraded.
2. Employer optionally taps [Use my current location] ? system requests device GPS permission (one-time):
   2.1. If granted ? device returns coordinates once ? system places the pin and pre-fills the field (editable); GPS is not tracked continuously.
   2.2. If denied ? system hides/disables the button ? Employer enters location manually.
3. Employer selects a suggestion ? system drops a pin on the map at the selected location.
4. Employer adjusts the [Search radius] slider ? system updates the radius circle around the pin in real time and shows the current value (e.g. ""50 km"").
5. Employer saves the form ? system validates:
   5.1. If company location is not set ? system does NOT activate the feed ? system displays error: ""Please set your company location.""
   5.2. If radius is not set ? system does NOT activate the feed ? system displays error: ""Please set a search radius.""
   5.3. If both are set ? system stores them against the Employer account preference ? the matching algorithm (2.4.3) uses the pin location + radius to filter the Employer swipe feed on the next load.
6. The Employer can update company location and radius at any time ? the change applies to the swipe feed on the next load.
7. This radius affects the Employer feed only; it has no effect on the Candidate feed."
2.5,Discussion page,,,,
